BGP_ID,Band,Lib Plate Name,Plate Well Position,Final Lib Name,Contact,CollectionDate,Country_code,State,CityTown,Lat,Long,Stage,,,
24N02504,269045843,BANS WGLC Plate B,A5,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02505,269045844,BANS WGLC Plate B,A6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02506,269045845,BANS WGLC Plate B,A7,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02507,269045846,BANS WGLC Plate B,A8,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02508,269045847,BANS WGLC Plate B,A9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/5/23,Canada,Alberta,Edmonton,53.687047,-113.57037,Breeding,,,
24N02517,281069201,BANS WGLC Plate B,A10,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02518,281069202,BANS WGLC Plate B,A11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02519,281069203,BANS WGLC Plate B,A12,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02520,281069204,BANS WGLC Plate B,B1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/7/23,Canada,New Brunswick,Sackville,45.8972,-64.3393,Breeding,,,
24N02521,281069205,BANS WGLC Plate B,B2,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02522,281069206,BANS WGLC Plate B,B3,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02523,281069207,BANS WGLC Plate B,B4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02524,281069208,BANS WGLC Plate B,B5,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02525,281069209,BANS WGLC Plate B,B6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02526,281069210,BANS WGLC Plate B,B7,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02527,281069211,BANS WGLC Plate B,B8,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02528,281069212,BANS WGLC Plate B,B9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",7/8/23,Canada,New Brunswick,Sackville,45.9052,-64.3382,Breeding,,,
24N02531,282088801,BANS WGLC Plate B,B10,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02532,282088802,BANS WGLC Plate B,B11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02533,282088804,BANS WGLC Plate B,B12,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02534,282088805,BANS WGLC Plate B,C1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02535,282088806,BANS WGLC Plate B,C2,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02536,282088807,BANS WGLC Plate B,C3,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02537,282088808,BANS WGLC Plate B,C4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02538,282088809,BANS WGLC Plate B,C5,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02539,282088810,BANS WGLC Plate B,C6,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/29/22,Canada,Nova Scotia,Meteghan,44.19388,-66.15649,Breeding,,,
24N02540,282088811,BANS WGLC Plate B,C7,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/30/22,Canada,Nova Scotia,Wolfville,45.110426,-64.246125,Breeding,,,
24N02541,282088812,BANS WGLC Plate B,C8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/30/22,Canada,Nova Scotia,Wolfville,45.110426,-64.246125,Breeding,,,
24N02542,282088813,BANS WGLC Plate B,C9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/30/22,Canada,Nova Scotia,Wolfville,45.110426,-64.246125,Breeding,,,
24N02614,284095253,BANS WGLC Plate B,C10,NOT INCLUDED,"Gregory Mitchell, Ana Diazbohorquez",6/6/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02615,284095254,BANS WGLC Plate B,C11,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/6/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02616,284095257,BANS WGLC Plate B,C12,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02617,284095259,BANS WGLC Plate B,D1,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02618,284095261,BANS WGLC Plate B,D2,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02619,284095262,BANS WGLC Plate B,D3,NOT INCLUDED,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02620,284095263,BANS WGLC Plate B,D4,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02621,284095264,BANS WGLC Plate B,D5,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02622,284095265,BANS WGLC Plate B,D6,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02623,284095266,BANS WGLC Plate B,D7,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02624,284095267,BANS WGLC Plate B,D8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02625,284095268,BANS WGLC Plate B,D9,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/8/22,Canada,Ontario,Port Bruce,42.661819,-80.9755,Breeding,,,
24N02682,292000703,BANS WGLC Plate B,D10,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/25/23,Canada,"British Columbia, Shuswap Band Lands",,50.5585,-116.0606,Breeding,,,
24N02683,292000709,BANS WGLC Plate B,D11,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/25/23,Canada,"British Columbia, Shuswap Band Lands",,50.5585,-116.0606,Breeding,,,
24N02684,292000714,BANS WGLC Plate B,D12,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/25/23,Canada,"British Columbia, Shuswap Band Lands",,50.5585,-116.0606,Breeding,,,
24N02685,292000715,BANS WGLC Plate B,E1,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/25/23,Canada,"British Columbia, Shuswap Band Lands",,50.5585,-116.0606,Breeding,,,
24N02686,292000716,BANS WGLC Plate B,E2,BANS 001 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/25/23,Canada,"British Columbia, Shuswap Band Lands",,50.5585,-116.0606,Breeding,,,
24N02687,292000717,BANS WGLC Plate B,E3,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/25/23,Canada,"British Columbia, Shuswap Band Lands",,50.5585,-116.0606,Breeding,,,
24N02688,292000725,BANS WGLC Plate B,E4,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/26/23,Canada,"British Columbia, Shuswap Band Lands",,50.5359,-116.0363,Breeding,,,
24N02689,292000726,BANS WGLC Plate B,E5,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/26/23,Canada,"British Columbia, Shuswap Band Lands",,50.5359,-116.0363,Breeding,,,
24N02690,292000727,BANS WGLC Plate B,E6,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/26/23,Canada,"British Columbia, Shuswap Band Lands",,50.5359,-116.0363,Breeding,,,
24N02691,292000728,BANS WGLC Plate B,E7,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/26/23,Canada,"British Columbia, Shuswap Band Lands",,50.5359,-116.0363,Breeding,,,
24N02692,292000729,BANS WGLC Plate B,E8,BANS 002 WGLC,"Gregory Mitchell, Ana Diazbohorquez",6/26/23,Canada,"British Columbia, Shuswap Band Lands",,50.5359,-116.0363,Breeding,,,
